"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe"
"06037113303","Census Tract 1133.03, Los Angeles County, California","B01001_001",4191,279,4191,279
"06037113321","Census Tract 1133.21, Los Angeles County, California","B01001_001",6180,653,6180,653
"06037113322","Census Tract 1133.22, Los Angeles County, California","B01001_001",4572,328,4572,328
"06037113401","Census Tract 1134.01, Los Angeles County, California","B01001_001",6550,627,6550,627
"06037113421","Census Tract 1134.21, Los Angeles County, California","B01001_001",6879,474,6879,474
"06037113422","Census Tract 1134.22, Los Angeles County, California","B01001_001",6306,600,6306,600
"06037115101","Census Tract 1151.01, Los Angeles County, California","B01001_001",5083,333,5083,333
"06037115103","Census Tract 1151.03, Los Angeles County, California","B01001_001",3381,318,3381,318
"06037115104","Census Tract 1151.04, Los Angeles County, California","B01001_001",4377,417,4377,417
"06037115201","Census Tract 1152.01, Los Angeles County, California","B01001_001",6647,669,6647,669
"06037115202","Census Tract 1152.02, Los Angeles County, California","B01001_001",5684,488,5684,488
"06037115301","Census Tract 1153.01, Los Angeles County, California","B01001_001",4524,381,4524,381
"06037115302","Census Tract 1153.02, Los Angeles County, California","B01001_001",3957,261,3957,261
"06037115401","Census Tract 1154.01, Los Angeles County, California","B01001_001",6373,416,6373,416
"06037115403","Census Tract 1154.03, Los Angeles County, California","B01001_001",3583,312,3583,312
"06037115404","Census Tract 1154.04, Los Angeles County, California","B01001_001",2800,252,2800,252
"06037117101","Census Tract 1171.01, Los Angeles County, California","B01001_001",5224,486,5224,486
"06037117102","Census Tract 1171.02, Los Angeles County, California","B01001_001",2861,294,2861,294
"06037117201","Census Tract 1172.01, Los Angeles County, California","B01001_001",5191,435,5191,435
"06037117202","Census Tract 1172.02, Los Angeles County, California","B01001_001",2633,256,2633,256
"06037117301","Census Tract 1173.01, Los Angeles County, California","B01001_001",3910,242,3910,242
"06037117302","Census Tract 1173.02, Los Angeles County, California","B01001_001",5229,360,5229,360
"06037117303","Census Tract 1173.03, Los Angeles County, California","B01001_001",3754,297,3754,297
"06037117404","Census Tract 1174.04, Los Angeles County, California","B01001_001",5324,593,5324,593
"06037117405","Census Tract 1174.05, Los Angeles County, California","B01001_001",3574,266,3574,266
"06037117407","Census Tract 1174.07, Los Angeles County, California","B01001_001",3836,303,3836,303
"06037117408","Census Tract 1174.08, Los Angeles County, California","B01001_001",3073,278,3073,278
"06037117510","Census Tract 1175.10, Los Angeles County, California","B01001_001",3687,423,3687,423
"06037117520","Census Tract 1175.20, Los Angeles County, California","B01001_001",4168,305,4168,305
"06037117530","Census Tract 1175.30, Los Angeles County, California","B01001_001",6742,456,6742,456
"06037119001","Census Tract 1190.01, Los Angeles County, California","B01001_001",4435,340,4435,340
"06037119002","Census Tract 1190.02, Los Angeles County, California","B01001_001",7976,677,7976,677
"06037119201","Census Tract 1192.01, Los Angeles County, California","B01001_001",4547,351,4547,351
"06037119202","Census Tract 1192.02, Los Angeles County, California","B01001_001",4759,530,4759,530
"06037119310","Census Tract 1193.10, Los Angeles County, California","B01001_001",4087,328,4087,328
"06037119320","Census Tract 1193.20, Los Angeles County, California","B01001_001",4906,503,4906,503
"06037119340","Census Tract 1193.40, Los Angeles County, California","B01001_001",4264,269,4264,269
"06037119341","Census Tract 1193.41, Los Angeles County, California","B01001_001",2890,202,2890,202
"06037119342","Census Tract 1193.42, Los Angeles County, California","B01001_001",2911,240,2911,240
"06037119400","Census Tract 1194, Los Angeles County, California","B01001_001",5499,449,5499,449
"06037119700","Census Tract 1197, Los Angeles County, California","B01001_001",4913,411,4913,411
"06037119800","Census Tract 1198, Los Angeles County, California","B01001_001",6054,465,6054,465
"06037119900","Census Tract 1199, Los Angeles County, California","B01001_001",5245,401,5245,401
"06037120010","Census Tract 1200.10, Los Angeles County, California","B01001_001",2704,185,2704,185
"06037120020","Census Tract 1200.20, Los Angeles County, California","B01001_001",3872,383,3872,383
"06037120030","Census Tract 1200.30, Los Angeles County, California","B01001_001",2666,307,2666,307
"06037120103","Census Tract 1201.03, Los Angeles County, California","B01001_001",3452,399,3452,399
"06037120104","Census Tract 1201.04, Los Angeles County, California","B01001_001",2228,214,2228,214
"06037120105","Census Tract 1201.05, Los Angeles County, California","B01001_001",2832,261,2832,261
"06037120106","Census Tract 1201.06, Los Angeles County, California","B01001_001",4763,562,4763,562
"06037120107","Census Tract 1201.07, Los Angeles County, California","B01001_001",3893,287,3893,287
"06037120108","Census Tract 1201.08, Los Angeles County, California","B01001_001",4732,412,4732,412
"06037120300","Census Tract 1203, Los Angeles County, California","B01001_001",5238,495,5238,495
"06037120400","Census Tract 1204, Los Angeles County, California","B01001_001",6769,787,6769,787
"06037121010","Census Tract 1210.10, Los Angeles County, California","B01001_001",4934,413,4934,413
"06037121020","Census Tract 1210.20, Los Angeles County, California","B01001_001",3610,273,3610,273
"06037121101","Census Tract 1211.01, Los Angeles County, California","B01001_001",2862,324,2862,324
"06037121102","Census Tract 1211.02, Los Angeles County, California","B01001_001",2479,305,2479,305
"06037121210","Census Tract 1212.10, Los Angeles County, California","B01001_001",2926,384,2926,384
"06037121221","Census Tract 1212.21, Los Angeles County, California","B01001_001",2420,260,2420,260
"06037121222","Census Tract 1212.22, Los Angeles County, California","B01001_001",5139,695,5139,695
"06037121600","Census Tract 1216, Los Angeles County, California","B01001_001",2735,310,2735,310
"06037121801","Census Tract 1218.01, Los Angeles County, California","B01001_001",3127,462,3127,462
"06037121802","Census Tract 1218.02, Los Angeles County, California","B01001_001",3216,411,3216,411
"06037121900","Census Tract 1219, Los Angeles County, California","B01001_001",3761,504,3761,504
"06037122000","Census Tract 1220, Los Angeles County, California","B01001_001",5892,685,5892,685
"06037122120","Census Tract 1221.20, Los Angeles County, California","B01001_001",5011,704,5011,704
"06037122121","Census Tract 1221.21, Los Angeles County, California","B01001_001",2829,309,2829,309
"06037122122","Census Tract 1221.22, Los Angeles County, California","B01001_001",2728,282,2728,282
"06037122200","Census Tract 1222, Los Angeles County, California","B01001_001",3469,348,3469,348
"06037122410","Census Tract 1224.10, Los Angeles County, California","B01001_001",3457,409,3457,409
"06037122420","Census Tract 1224.20, Los Angeles County, California","B01001_001",4503,551,4503,551
"06037123010","Census Tract 1230.10, Los Angeles County, California","B01001_001",4027,316,4027,316
"06037123020","Census Tract 1230.20, Los Angeles County, California","B01001_001",3250,360,3250,360
"06037123103","Census Tract 1231.03, Los Angeles County, California","B01001_001",3808,407,3808,407
"06037123104","Census Tract 1231.04, Los Angeles County, California","B01001_001",4416,443,4416,443
"06037123203","Census Tract 1232.03, Los Angeles County, California","B01001_001",4094,362,4094,362
"06037123204","Census Tract 1232.04, Los Angeles County, California","B01001_001",3129,285,3129,285
"06037123205","Census Tract 1232.05, Los Angeles County, California","B01001_001",2492,233,2492,233
"06037123206","Census Tract 1232.06, Los Angeles County, California","B01001_001",2572,251,2572,251
"06037123301","Census Tract 1233.01, Los Angeles County, California","B01001_001",4530,383,4530,383
"06037123303","Census Tract 1233.03, Los Angeles County, California","B01001_001",3087,228,3087,228
"06037123304","Census Tract 1233.04, Los Angeles County, California","B01001_001",4362,354,4362,354
"06037123410","Census Tract 1234.10, Los Angeles County, California","B01001_001",4181,416,4181,416
"06037123420","Census Tract 1234.20, Los Angeles County, California","B01001_001",4408,404,4408,404
"06037123510","Census Tract 1235.10, Los Angeles County, California","B01001_001",4795,592,4795,592
"06037123520","Census Tract 1235.20, Los Angeles County, California","B01001_001",2816,234,2816,234
"06037123601","Census Tract 1236.01, Los Angeles County, California","B01001_001",4803,414,4803,414
"06037123602","Census Tract 1236.02, Los Angeles County, California","B01001_001",3659,257,3659,257
"06037123700","Census Tract 1237, Los Angeles County, California","B01001_001",4435,647,4435,647
"06037123800","Census Tract 1238, Los Angeles County, California","B01001_001",6018,464,6018,464
"06037123901","Census Tract 1239.01, Los Angeles County, California","B01001_001",4696,571,4696,571
"06037123902","Census Tract 1239.02, Los Angeles County, California","B01001_001",2668,271,2668,271
"06037124000","Census Tract 1240, Los Angeles County, California","B01001_001",5219,523,5219,523
"06037124102","Census Tract 1241.02, Los Angeles County, California","B01001_001",3551,338,3551,338
"06037124103","Census Tract 1241.03, Los Angeles County, California","B01001_001",1950,251,1950,251
"06037124104","Census Tract 1241.04, Los Angeles County, California","B01001_001",2492,212,2492,212
"06037124105","Census Tract 1241.05, Los Angeles County, California","B01001_001",2538,262,2538,262
"06037124201","Census Tract 1242.01, Los Angeles County, California","B01001_001",3348,268,3348,268
"06037124203","Census Tract 1242.03, Los Angeles County, California","B01001_001",2384,265,2384,265
"06037124204","Census Tract 1242.04, Los Angeles County, California","B01001_001",2192,333,2192,333
"06037124300","Census Tract 1243, Los Angeles County, California","B01001_001",2988,436,2988,436
"06037124400","Census Tract 1244, Los Angeles County, California","B01001_001",4858,273,4858,273
"06037124500","Census Tract 1245, Los Angeles County, California","B01001_001",2925,299,2925,299
"06037124600","Census Tract 1246, Los Angeles County, California","B01001_001",2691,292,2691,292
"06037124700","Census Tract 1247, Los Angeles County, California","B01001_001",5539,369,5539,369
"06037124902","Census Tract 1249.02, Los Angeles County, California","B01001_001",2706,281,2706,281
"06037124903","Census Tract 1249.03, Los Angeles County, California","B01001_001",3499,347,3499,347
"06037125100","Census Tract 1251, Los Angeles County, California","B01001_001",5892,452,5892,452
"06037125200","Census Tract 1252, Los Angeles County, California","B01001_001",3907,474,3907,474
"06037125310","Census Tract 1253.10, Los Angeles County, California","B01001_001",4313,587,4313,587
"06037125320","Census Tract 1253.20, Los Angeles County, California","B01001_001",5106,387,5106,387
"06037125401","Census Tract 1254.01, Los Angeles County, California","B01001_001",4966,543,4966,543
"06037125402","Census Tract 1254.02, Los Angeles County, California","B01001_001",4889,794,4889,794
"06037125501","Census Tract 1255.01, Los Angeles County, California","B01001_001",3052,286,3052,286
"06037125502","Census Tract 1255.02, Los Angeles County, California","B01001_001",3488,264,3488,264
"06037125600","Census Tract 1256, Los Angeles County, California","B01001_001",2811,328,2811,328
"06037127102","Census Tract 1271.02, Los Angeles County, California","B01001_001",5779,610,5779,610
"06037127103","Census Tract 1271.03, Los Angeles County, California","B01001_001",3109,432,3109,432
"06037127104","Census Tract 1271.04, Los Angeles County, California","B01001_001",3821,408,3821,408
"06037127210","Census Tract 1272.10, Los Angeles County, California","B01001_001",5838,646,5838,646
"06037127220","Census Tract 1272.20, Los Angeles County, California","B01001_001",5045,384,5045,384
"06037127300","Census Tract 1273, Los Angeles County, California","B01001_001",3809,398,3809,398
"06037127400","Census Tract 1274, Los Angeles County, California","B01001_001",6558,614,6558,614
"06037127520","Census Tract 1275.20, Los Angeles County, California","B01001_001",4870,365,4870,365
"06037127603","Census Tract 1276.03, Los Angeles County, California","B01001_001",3068,274,3068,274
"06037127604","Census Tract 1276.04, Los Angeles County, California","B01001_001",3157,399,3157,399
"06037127605","Census Tract 1276.05, Los Angeles County, California","B01001_001",4329,419,4329,419
"06037127606","Census Tract 1276.06, Los Angeles County, California","B01001_001",3322,414,3322,414
"06037127711","Census Tract 1277.11, Los Angeles County, California","B01001_001",3588,399,3588,399
"06037127712","Census Tract 1277.12, Los Angeles County, California","B01001_001",3560,404,3560,404
"06037127803","Census Tract 1278.03, Los Angeles County, California","B01001_001",4790,617,4790,617
"06037127804","Census Tract 1278.04, Los Angeles County, California","B01001_001",4352,292,4352,292
"06037127805","Census Tract 1278.05, Los Angeles County, California","B01001_001",3627,337,3627,337
"06037127806","Census Tract 1278.06, Los Angeles County, California","B01001_001",3293,402,3293,402
"06037127910","Census Tract 1279.10, Los Angeles County, California","B01001_001",5097,611,5097,611
"06037127920","Census Tract 1279.20, Los Angeles County, California","B01001_001",4716,352,4716,352
"06037128101","Census Tract 1281.01, Los Angeles County, California","B01001_001",3735,366,3735,366
"06037128102","Census Tract 1281.02, Los Angeles County, California","B01001_001",4625,385,4625,385
"06037128210","Census Tract 1282.10, Los Angeles County, California","B01001_001",5008,429,5008,429
"06037128220","Census Tract 1282.20, Los Angeles County, California","B01001_001",2912,249,2912,249
"06037128302","Census Tract 1283.02, Los Angeles County, California","B01001_001",5000,353,5000,353
"06037128303","Census Tract 1283.03, Los Angeles County, California","B01001_001",4176,402,4176,402
"06037128400","Census Tract 1284, Los Angeles County, California","B01001_001",4502,461,4502,461
"06037128500","Census Tract 1285, Los Angeles County, California","B01001_001",4108,400,4108,400
"06037128601","Census Tract 1286.01, Los Angeles County, California","B01001_001",4369,462,4369,462
"06037128602","Census Tract 1286.02, Los Angeles County, California","B01001_001",3472,329,3472,329
"06037128702","Census Tract 1287.02, Los Angeles County, California","B01001_001",5810,476,5810,476
"06037128801","Census Tract 1288.01, Los Angeles County, California","B01001_001",3419,271,3419,271
"06037128802","Census Tract 1288.02, Los Angeles County, California","B01001_001",4670,346,4670,346
"06037128910","Census Tract 1289.10, Los Angeles County, California","B01001_001",4657,214,4657,214
"06037131010","Census Tract 1310.10, Los Angeles County, California","B01001_001",6686,502,6686,502
"06037131020","Census Tract 1310.20, Los Angeles County, California","B01001_001",6704,569,6704,569
"06037131100","Census Tract 1311, Los Angeles County, California","B01001_001",3197,232,3197,232
"06037131200","Census Tract 1312, Los Angeles County, California","B01001_001",3417,258,3417,258
"06037131300","Census Tract 1313, Los Angeles County, California","B01001_001",5102,305,5102,305
"06037131400","Census Tract 1314, Los Angeles County, California","B01001_001",6367,556,6367,556
"06037131600","Census Tract 1316, Los Angeles County, California","B01001_001",5336,738,5336,738
"06037131701","Census Tract 1317.01, Los Angeles County, California","B01001_001",5587,416,5587,416
"06037131702","Census Tract 1317.02, Los Angeles County, California","B01001_001",3770,405,3770,405
"06037131800","Census Tract 1318, Los Angeles County, California","B01001_001",6157,548,6157,548
"06037131900","Census Tract 1319, Los Angeles County, California","B01001_001",4597,462,4597,462
"06037132001","Census Tract 1320.01, Los Angeles County, California","B01001_001",3463,406,3463,406
"06037132002","Census Tract 1320.02, Los Angeles County, California","B01001_001",3354,352,3354,352
"06037132101","Census Tract 1321.01, Los Angeles County, California","B01001_001",4645,445,4645,445
"06037132102","Census Tract 1321.02, Los Angeles County, California","B01001_001",5401,485,5401,485
"06037132300","Census Tract 1323, Los Angeles County, California","B01001_001",7912,749,7912,749
"06037132501","Census Tract 1325.01, Los Angeles County, California","B01001_001",4566,358,4566,358
"06037132502","Census Tract 1325.02, Los Angeles County, California","B01001_001",3922,377,3922,377
"06037132700","Census Tract 1327, Los Angeles County, California","B01001_001",4873,458,4873,458
"06037132900","Census Tract 1329, Los Angeles County, California","B01001_001",3885,287,3885,287
"06037133000","Census Tract 1330, Los Angeles County, California","B01001_001",4778,387,4778,387
"06037133100","Census Tract 1331, Los Angeles County, California","B01001_001",5609,374,5609,374
"06037134001","Census Tract 1340.01, Los Angeles County, California","B01001_001",3864,362,3864,362
"06037134002","Census Tract 1340.02, Los Angeles County, California","B01001_001",3665,322,3665,322
"06037134101","Census Tract 1341.01, Los Angeles County, California","B01001_001",5579,535,5579,535
"06037134103","Census Tract 1341.03, Los Angeles County, California","B01001_001",4659,443,4659,443
"06037134104","Census Tract 1341.04, Los Angeles County, California","B01001_001",4618,464,4618,464
"06037134201","Census Tract 1342.01, Los Angeles County, California","B01001_001",4735,372,4735,372
"06037134302","Census Tract 1343.02, Los Angeles County, California","B01001_001",4112,337,4112,337
"06037134303","Census Tract 1343.03, Los Angeles County, California","B01001_001",5942,469,5942,469
"06037134304","Census Tract 1343.04, Los Angeles County, California","B01001_001",3042,230,3042,230
"06037134305","Census Tract 1343.05, Los Angeles County, California","B01001_001",4183,401,4183,401
"06037134306","Census Tract 1343.06, Los Angeles County, California","B01001_001",4305,373,4305,373
"06037134421","Census Tract 1344.21, Los Angeles County, California","B01001_001",4234,277,4234,277
"06037134422","Census Tract 1344.22, Los Angeles County, California","B01001_001",4924,338,4924,338
"06037134423","Census Tract 1344.23, Los Angeles County, California","B01001_001",3539,222,3539,222
"06037134424","Census Tract 1344.24, Los Angeles County, California","B01001_001",2916,146,2916,146
"06037134520","Census Tract 1345.20, Los Angeles County, California","B01001_001",6065,420,6065,420
"06037134521","Census Tract 1345.21, Los Angeles County, California","B01001_001",3691,366,3691,366
"06037134522","Census Tract 1345.22, Los Angeles County, California","B01001_001",4167,323,4167,323
"06037134710","Census Tract 1347.10, Los Angeles County, California","B01001_001",5836,546,5836,546
"06037134720","Census Tract 1347.20, Los Angeles County, California","B01001_001",5074,399,5074,399
"06037134800","Census Tract 1348, Los Angeles County, California","B01001_001",6399,356,6399,356
"06037134901","Census Tract 1349.01, Los Angeles County, California","B01001_001",3140,247,3140,247
"06037134903","Census Tract 1349.03, Los Angeles County, California","B01001_001",6919,850,6919,850
"06037134904","Census Tract 1349.04, Los Angeles County, California","B01001_001",4043,374,4043,374
"06037134905","Census Tract 1349.05, Los Angeles County, California","B01001_001",4552,380,4552,380
"06037135102","Census Tract 1351.02, Los Angeles County, California","B01001_001",3726,229,3726,229
"06037135111","Census Tract 1351.11, Los Angeles County, California","B01001_001",3313,360,3313,360
"06037135113","Census Tract 1351.13, Los Angeles County, California","B01001_001",3485,369,3485,369
"06037135114","Census Tract 1351.14, Los Angeles County, California","B01001_001",5106,465,5106,465
"06037135201","Census Tract 1352.01, Los Angeles County, California","B01001_001",2788,204,2788,204
"06037135202","Census Tract 1352.02, Los Angeles County, California","B01001_001",4708,388,4708,388
"06037135203","Census Tract 1352.03, Los Angeles County, California","B01001_001",7515,440,7515,440
"06037137000","Census Tract 1370, Los Angeles County, California","B01001_001",5067,247,5067,247
"06037137103","Census Tract 1371.03, Los Angeles County, California","B01001_001",5382,426,5382,426
"06037137104","Census Tract 1371.04, Los Angeles County, California","B01001_001",2754,290,2754,290
"06037137201","Census Tract 1372.01, Los Angeles County, California","B01001_001",6029,617,6029,617
"06037137301","Census Tract 1373.01, Los Angeles County, California","B01001_001",2271,192,2271,192
"06037137302","Census Tract 1373.02, Los Angeles County, California","B01001_001",4449,258,4449,258
"06037137401","Census Tract 1374.01, Los Angeles County, California","B01001_001",4299,338,4299,338
"06037137402","Census Tract 1374.02, Los Angeles County, California","B01001_001",5365,521,5365,521
"06037137501","Census Tract 1375.01, Los Angeles County, California","B01001_001",4915,492,4915,492
"06037137502","Census Tract 1375.02, Los Angeles County, California","B01001_001",4549,390,4549,390
"06037137504","Census Tract 1375.04, Los Angeles County, California","B01001_001",2155,242,2155,242
"06037138000","Census Tract 1380, Los Angeles County, California","B01001_001",4780,283,4780,283
"06037139001","Census Tract 1390.01, Los Angeles County, California","B01001_001",5639,404,5639,404
"06037139200","Census Tract 1392, Los Angeles County, California","B01001_001",5662,517,5662,517
"06037139301","Census Tract 1393.01, Los Angeles County, California","B01001_001",4445,364,4445,364
"06037139302","Census Tract 1393.02, Los Angeles County, California","B01001_001",5000,526,5000,526
"06037139303","Census Tract 1393.03, Los Angeles County, California","B01001_001",4260,319,4260,319
"06037139401","Census Tract 1394.01, Los Angeles County, California","B01001_001",2706,228,2706,228
"06037139402","Census Tract 1394.02, Los Angeles County, California","B01001_001",2899,251,2899,251
"06037139502","Census Tract 1395.02, Los Angeles County, California","B01001_001",2917,288,2917,288
"06037139503","Census Tract 1395.03, Los Angeles County, California","B01001_001",5946,553,5946,553
"06037139504","Census Tract 1395.04, Los Angeles County, California","B01001_001",3998,355,3998,355
"06037139600","Census Tract 1396, Los Angeles County, California","B01001_001",5060,415,5060,415
"06037139701","Census Tract 1397.01, Los Angeles County, California","B01001_001",5320,498,5320,498
"06037139702","Census Tract 1397.02, Los Angeles County, California","B01001_001",6447,473,6447,473
"06037139703","Census Tract 1397.03, Los Angeles County, California","B01001_001",2861,305,2861,305
"06037139801","Census Tract 1398.01, Los Angeles County, California","B01001_001",3488,200,3488,200
"06037139802","Census Tract 1398.02, Los Angeles County, California","B01001_001",4126,376,4126,376
"06037141101","Census Tract 1411.01, Los Angeles County, California","B01001_001",4674,628,4674,628
"06037141102","Census Tract 1411.02, Los Angeles County, California","B01001_001",3074,362,3074,362
"06037141201","Census Tract 1412.01, Los Angeles County, California","B01001_001",4583,292,4583,292
"06037141202","Census Tract 1412.02, Los Angeles County, California","B01001_001",2674,324,2674,324
"06037141302","Census Tract 1413.02, Los Angeles County, California","B01001_001",6037,570,6037,570
"06037141303","Census Tract 1413.03, Los Angeles County, California","B01001_001",3477,186,3477,186
"06037141304","Census Tract 1413.04, Los Angeles County, California","B01001_001",2995,271,2995,271
"06037141400","Census Tract 1414, Los Angeles County, California","B01001_001",5099,320,5099,320
"06037141500","Census Tract 1415, Los Angeles County, California","B01001_001",2982,224,2982,224
"06037141600","Census Tract 1416, Los Angeles County, California","B01001_001",4178,234,4178,234
"06037141700","Census Tract 1417, Los Angeles County, California","B01001_001",3161,236,3161,236
"06037143100","Census Tract 1431, Los Angeles County, California","B01001_001",4389,419,4389,419
"06037143200","Census Tract 1432, Los Angeles County, California","B01001_001",4085,421,4085,421
"06037143300","Census Tract 1433, Los Angeles County, California","B01001_001",6643,415,6643,415
"06037143400","Census Tract 1434, Los Angeles County, California","B01001_001",7056,611,7056,611
"06037143500","Census Tract 1435, Los Angeles County, California","B01001_001",5482,449,5482,449
"06037143602","Census Tract 1436.02, Los Angeles County, California","B01001_001",4769,443,4769,443
"06037143603","Census Tract 1436.03, Los Angeles County, California","B01001_001",2392,203,2392,203
"06037143604","Census Tract 1436.04, Los Angeles County, California","B01001_001",3720,359,3720,359
"06037143700","Census Tract 1437, Los Angeles County, California","B01001_001",3811,364,3811,364
"06037143800","Census Tract 1438, Los Angeles County, California","B01001_001",5770,511,5770,511
"06037143901","Census Tract 1439.01, Los Angeles County, California","B01001_001",4069,407,4069,407
"06037143902","Census Tract 1439.02, Los Angeles County, California","B01001_001",2766,262,2766,262
"06037181000","Census Tract 1810, Los Angeles County, California","B01001_001",6458,482,6458,482
"06037181300","Census Tract 1813, Los Angeles County, California","B01001_001",4059,373,4059,373
"06037181400","Census Tract 1814, Los Angeles County, California","B01001_001",4943,369,4943,369
"06037181500","Census Tract 1815, Los Angeles County, California","B01001_001",3956,380,3956,380
"06037181600","Census Tract 1816, Los Angeles County, California","B01001_001",4631,376,4631,376
"06037183101","Census Tract 1831.01, Los Angeles County, California","B01001_001",3323,285,3323,285
"06037183103","Census Tract 1831.03, Los Angeles County, California","B01001_001",4355,329,4355,329
"06037183104","Census Tract 1831.04, Los Angeles County, California","B01001_001",2146,149,2146,149
"06037183220","Census Tract 1832.20, Los Angeles County, California","B01001_001",4155,353,4155,353
"06037183221","Census Tract 1832.21, Los Angeles County, California","B01001_001",3522,394,3522,394
"06037183222","Census Tract 1832.22, Los Angeles County, California","B01001_001",3493,366,3493,366
"06037183300","Census Tract 1833, Los Angeles County, California","B01001_001",3487,274,3487,274
"06037183401","Census Tract 1834.01, Los Angeles County, California","B01001_001",2531,200,2531,200
"06037183402","Census Tract 1834.02, Los Angeles County, California","B01001_001",3006,326,3006,326
"06037183510","Census Tract 1835.10, Los Angeles County, California","B01001_001",2577,321,2577,321
"06037183520","Census Tract 1835.20, Los Angeles County, California","B01001_001",3758,390,3758,390
"06037183610","Census Tract 1836.10, Los Angeles County, California","B01001_001",3215,270,3215,270
"06037183620","Census Tract 1836.20, Los Angeles County, California","B01001_001",3111,321,3111,321
"06037183701","Census Tract 1837.01, Los Angeles County, California","B01001_001",3720,307,3720,307
"06037183702","Census Tract 1837.02, Los Angeles County, California","B01001_001",2775,380,2775,380
"06037183810","Census Tract 1838.10, Los Angeles County, California","B01001_001",4163,429,4163,429
"06037183820","Census Tract 1838.20, Los Angeles County, California","B01001_001",3445,370,3445,370
"06037185100","Census Tract 1851, Los Angeles County, California","B01001_001",6070,679,6070,679
"06037185202","Census Tract 1852.02, Los Angeles County, California","B01001_001",3627,450,3627,450
"06037185203","Census Tract 1852.03, Los Angeles County, California","B01001_001",3566,327,3566,327
"06037185204","Census Tract 1852.04, Los Angeles County, California","B01001_001",1921,155,1921,155
"06037185310","Census Tract 1853.10, Los Angeles County, California","B01001_001",3131,209,3131,209
"06037185320","Census Tract 1853.20, Los Angeles County, California","B01001_001",2991,230,2991,230
"06037186100","Census Tract 1861, Los Angeles County, California","B01001_001",4985,294,4985,294
"06037186201","Census Tract 1862.01, Los Angeles County, California","B01001_001",3201,407,3201,407
"06037186202","Census Tract 1862.02, Los Angeles County, California","B01001_001",2007,281,2007,281
"06037186203","Census Tract 1862.03, Los Angeles County, California","B01001_001",3416,492,3416,492
"06037186301","Census Tract 1863.01, Los Angeles County, California","B01001_001",2906,243,2906,243
"06037186302","Census Tract 1863.02, Los Angeles County, California","B01001_001",5096,409,5096,409
"06037186401","Census Tract 1864.01, Los Angeles County, California","B01001_001",3489,389,3489,389
"06037186403","Census Tract 1864.03, Los Angeles County, California","B01001_001",2698,215,2698,215
"06037186404","Census Tract 1864.04, Los Angeles County, California","B01001_001",2631,215,2631,215
"06037187101","Census Tract 1871.01, Los Angeles County, California","B01001_001",3438,330,3438,330
"06037187102","Census Tract 1871.02, Los Angeles County, California","B01001_001",3739,296,3739,296
"06037187200","Census Tract 1872, Los Angeles County, California","B01001_001",2963,321,2963,321
"06037187300","Census Tract 1873, Los Angeles County, California","B01001_001",3597,307,3597,307
"06037188100","Census Tract 1881, Los Angeles County, California","B01001_001",3918,440,3918,440
"06037188201","Census Tract 1882.01, Los Angeles County, California","B01001_001",3473,283,3473,283
"06037188202","Census Tract 1882.02, Los Angeles County, California","B01001_001",2426,220,2426,220
"06037188300","Census Tract 1883, Los Angeles County, California","B01001_001",3800,526,3800,526
"06037189101","Census Tract 1891.01, Los Angeles County, California","B01001_001",2521,219,2521,219
"06037189102","Census Tract 1891.02, Los Angeles County, California","B01001_001",3356,204,3356,204
"06037189201","Census Tract 1892.01, Los Angeles County, California","B01001_001",3216,257,3216,257
"06037189202","Census Tract 1892.02, Los Angeles County, California","B01001_001",2396,261,2396,261
"06037189300","Census Tract 1893, Los Angeles County, California","B01001_001",3117,253,3117,253
"06037189400","Census Tract 1894, Los Angeles County, California","B01001_001",3164,250,3164,250
"06037189500","Census Tract 1895, Los Angeles County, California","B01001_001",4180,385,4180,385
"06037189600","Census Tract 1896, Los Angeles County, California","B01001_001",3939,393,3939,393
"06037189701","Census Tract 1897.01, Los Angeles County, California","B01001_001",3228,446,3228,446
"06037189702","Census Tract 1897.02, Los Angeles County, California","B01001_001",2201,251,2201,251
"06037189800","Census Tract 1898, Los Angeles County, California","B01001_001",3833,372,3833,372
"06037189902","Census Tract 1899.02, Los Angeles County, California","B01001_001",5371,395,5371,395
"06037189903","Census Tract 1899.03, Los Angeles County, California","B01001_001",2089,193,2089,193
"06037189904","Census Tract 1899.04, Los Angeles County, California","B01001_001",2435,256,2435,256
"06037189905","Census Tract 1899.05, Los Angeles County, California","B01001_001",2432,226,2432,226
"06037190100","Census Tract 1901, Los Angeles County, California","B01001_001",4453,489,4453,489
"06037190201","Census Tract 1902.01, Los Angeles County, California","B01001_001",2632,300,2632,300
"06037190202","Census Tract 1902.02, Los Angeles County, California","B01001_001",3225,378,3225,378
"06037190301","Census Tract 1903.01, Los Angeles County, California","B01001_001",5569,518,5569,518
"06037190401","Census Tract 1904.01, Los Angeles County, California","B01001_001",2977,375,2977,375
"06037190402","Census Tract 1904.02, Los Angeles County, California","B01001_001",2372,186,2372,186
"06037190510","Census Tract 1905.10, Los Angeles County, California","B01001_001",4051,328,4051,328
"06037190520","Census Tract 1905.20, Los Angeles County, California","B01001_001",3979,421,3979,421
"06037190700","Census Tract 1907, Los Angeles County, California","B01001_001",2685,375,2685,375
"06037190801","Census Tract 1908.01, Los Angeles County, California","B01001_001",2682,384,2682,384
"06037190802","Census Tract 1908.02, Los Angeles County, California","B01001_001",2982,284,2982,284
"06037190901","Census Tract 1909.01, Los Angeles County, California","B01001_001",4587,546,4587,546
